desired_displacement_mm,extend_command_mm,retract_command_mm,model_status
0.0,2.6789936439807326e-14,0.0,candidate_requires_control_validation
10.0,22.671033789649318,127.40848924326883,candidate_requires_control_validation
20.0,43.04966616201559,142.09869930190376,candidate_requires_control_validation
30.0,61.85716204513058,154.22294026509906,candidate_requires_control_validation
40.0,79.52341800977486,165.48863756523306,candidate_requires_control_validation
50.0,96.28968551109226,176.56851852597046,candidate_requires_control_validation
60.0,111.98676203888628,188.04003396059377,candidate_requires_control_validation
70.0,126.27465225681907,200.70004772627686,candidate_requires_control_validation
80.0,139.76450314950796,214.17075643164296,candidate_requires_control_validation
90.0,152.71267349586338,227.30204452331233,candidate_requires_control_validation
100.0,165.45374982851274,240.185333503829,candidate_requires_control_validation
110.0,178.1830838102445,252.8907650352545,candidate_requires_control_validation
120.0,191.1157131354891,265.5270043877699,candidate_requires_control_validation
130.0,204.44900147557726,278.16290758017107,candidate_requires_control_validation
140.0,217.9410386109966,290.8755552442212,candidate_requires_control_validation
150.0,231.44916308862818,303.73460429231835,candidate_requires_control_validation
160.0,244.97056733590455,316.6522154487441,candidate_requires_control_validation
170.0,258.5008741138807,329.5751532911342,candidate_requires_control_validation
180.0,272.0378367627508,342.5064872691379,candidate_requires_control_validation
190.0,285.5779662579934,355.4472596385007,candidate_requires_control_validation
200.0,299.1181026074397,368.3989820256642,candidate_requires_control_validation
210.0,312.66007440592404,381.36461751835117,candidate_requires_control_validation
220.0,326.2074042673816,394.3465216566935,candidate_requires_control_validation
230.0,339.7593085168171,407.34696570093934,candidate_requires_control_validation
240.0,353.31570242339745,420.3703711011961,candidate_requires_control_validation
250.0,366.875084031407,433.4153453966175,candidate_requires_control_validation
260.0,380.4367352672561,446.4727543143666,candidate_requires_control_validation
270.0,394.00004140800496,459.53725084872985,candidate_requires_control_validation
280.0,407.56406453688476,472.60285504814897,candidate_requires_control_validation
290.0,421.1290352043067,485.6631094071341,candidate_requires_control_validation
300.0,434.6958054224916,498.71263730028045,candidate_requires_control_validation
310.0,448.2648523665727,511.75594395032135,candidate_requires_control_validation
320.0,461.83717927071314,524.8027341065418,candidate_requires_control_validation
330.0,475.4135495672333,537.8497922862274,candidate_requires_control_validation
340.0,488.9942772481444,550.8931371950359,candidate_requires_control_validation
350.0,502.5816437315975,563.9278999598355,candidate_requires_control_validation
360.0,516.1813331942275,576.9511046607198,candidate_requires_control_validation
370.0,529.7924232047413,589.9592268490259,candidate_requires_control_validation
380.0,543.4100207833786,602.9459389913812,candidate_requires_control_validation
390.0,557.0270591888022,615.919171343005,candidate_requires_control_validation
400.0,570.6379115091191,628.8817377841439,candidate_requires_control_validation
410.0,584.2348552883911,641.8311704202447,candidate_requires_control_validation
420.0,597.8140943408844,654.7668011133774,candidate_requires_control_validation
430.0,611.3779995106563,667.6884810919269,candidate_requires_control_validation
440.0,624.9355320070877,680.5946317993739,candidate_requires_control_validation
450.0,638.485116275598,693.4823795517618,candidate_requires_control_validation
460.0,652.0218807058009,706.3464267179909,candidate_requires_control_validation
470.0,665.5422850465035,719.1716909809527,candidate_requires_control_validation
480.0,679.0442814884831,731.9615241425172,candidate_requires_control_validation
490.0,692.5211289634512,744.7347633896006,candidate_requires_control_validation
500.0,705.9664578552992,757.5067212458351,candidate_requires_control_validation
510.0,719.3678937440324,770.291618704026,candidate_requires_control_validation
520.0,732.7284079237693,783.1096068740816,candidate_requires_control_validation
530.0,746.0696042838639,795.9722043291077,candidate_requires_control_validation
540.0,759.4069877278637,808.892178282273,candidate_requires_control_validation
550.0,772.7588675373058,821.8732893795092,candidate_requires_control_validation
560.0,786.1406645458654,834.89634095097,candidate_requires_control_validation
570.0,799.5664763415901,847.9423155717038,candidate_requires_control_validation
580.0,813.0416832203994,860.9951980328867,candidate_requires_control_validation
590.0,826.5441714376375,874.0356033234793,candidate_requires_control_validation
600.0,840.070043179773,887.0477444482939,candidate_requires_control_validation
610.0,853.6198401414015,900.0164689515792,candidate_requires_control_validation
620.0,867.1860761146705,912.9372290235522,candidate_requires_control_validation
630.0,880.7662169641454,925.833480303744,candidate_requires_control_validation
640.0,894.3578274730339,938.70922191164,candidate_requires_control_validation
650.0,907.9608799147402,951.5671717112577,candidate_requires_control_validation
660.0,921.5865797392178,964.4123927475703,candidate_requires_control_validation
670.0,935.2328672293077,977.2500432940994,candidate_requires_control_validation
680.0,948.8918411177027,990.083982900234,candidate_requires_control_validation
690.0,962.5586256644575,1002.9156824394187,candidate_requires_control_validation
700.0,976.2263092421289,1015.7307418905706,candidate_requires_control_validation
710.0,989.8892824718877,1028.5262659258553,candidate_requires_control_validation
720.0,1003.5421087827297,1041.3104591994766,candidate_requires_control_validation
730.0,1017.1977448604497,1054.093480771848,candidate_requires_control_validation
740.0,1030.859480421296,1066.8845172063943,candidate_requires_control_validation
750.0,1044.5214208417165,1079.6919237330037,candidate_requires_control_validation
760.0,1058.1779286050105,1092.5295306634675,candidate_requires_control_validation
770.0,1071.8224733025638,1105.4034692369473,candidate_requires_control_validation
780.0,1085.4489466329044,1118.315689429249,candidate_requires_control_validation
790.0,1099.0537719647502,1131.2601578237197,candidate_requires_control_validation
800.0,1112.6185902691466,1144.2252712822262,candidate_requires_control_validation
810.0,1126.144711245594,1157.197949565247,candidate_requires_control_validation
820.0,1139.6480907436141,1170.1679243051922,candidate_requires_control_validation
830.0,1153.1433596510565,1183.121094921581,candidate_requires_control_validation
840.0,1166.6478021426512,1196.048471629271,candidate_requires_control_validation
850.0,1180.175679769946,1208.9412221730609,candidate_requires_control_validation
860.0,1193.7507981472133,1221.7977954807302,candidate_requires_control_validation
870.0,1207.3745773864107,1234.6317812732552,candidate_requires_control_validation
880.0,1221.035856166579,1247.4559593560903,candidate_requires_control_validation
890.0,1234.7288359272902,1260.2811137889396,candidate_requires_control_validation
900.0,1248.4457621839072,1273.121441391267,candidate_requires_control_validation
910.0,1262.1856084208437,1285.9870004225202,candidate_requires_control_validation
920.0,1275.9436289302334,1298.8886277216338,candidate_requires_control_validation
930.0,1289.7147788547866,1311.8384917102662,candidate_requires_control_validation
940.0,1303.4985868652798,1324.8275121364577,candidate_requires_control_validation
950.0,1317.2990234201345,1337.8427711703655,candidate_requires_control_validation
960.0,1331.1191247425654,1350.8746519148738,candidate_requires_control_validation
970.0,1344.9576846429868,1363.9115199345902,candidate_requires_control_validation
980.0,1358.8097531433189,1376.9415038290933,candidate_requires_control_validation
990.0,1372.674472601303,1389.954605317064,candidate_requires_control_validation
1000.0,1386.5481988413626,1402.9343672102598,candidate_requires_control_validation
1010.0,1400.4292513936934,1415.880250494847,candidate_requires_control_validation
