desired_displacement_mm,extend_command_mm,retract_command_mm,model_status
0.0,2.746211071299426e-14,0.0,candidate_requires_control_validation
10.0,23.16363153248078,117.56221450270009,candidate_requires_control_validation
20.0,43.86796898675932,133.63461772179704,candidate_requires_control_validation
30.0,62.911322035162115,145.90657830578238,candidate_requires_control_validation
40.0,80.77723841453826,156.8630819202646,candidate_requires_control_validation
50.0,97.72152853622592,167.30309761792813,candidate_requires_control_validation
60.0,113.43943757808098,177.7376526933188,candidate_requires_control_validation
70.0,127.80660592252661,188.65651595950436,candidate_requires_control_validation
80.0,141.32905001621802,200.81812536937383,candidate_requires_control_validation
90.0,154.34805656173398,213.9485524310433,candidate_requires_control_validation
100.0,167.16151817408578,227.00527819906733,candidate_requires_control_validation
110.0,179.95814620078292,240.0044496416171,candidate_requires_control_validation
120.0,192.9919321655682,252.95679097966996,candidate_requires_control_validation
130.0,206.3501985037844,265.88722128101284,candidate_requires_control_validation
140.0,219.7920892352148,278.8106789784214,candidate_requires_control_validation
150.0,233.2068785705743,291.74465192758487,candidate_requires_control_validation
160.0,246.6076667112357,304.70177904071704,candidate_requires_control_validation
170.0,260.0023404830549,317.6700065699775,candidate_requires_control_validation
180.0,273.4003121638829,330.6384579370688,candidate_requires_control_validation
190.0,286.8099006155411,343.6015360904894,candidate_requires_control_validation
200.0,300.238921851948,356.55506870021964,candidate_requires_control_validation
210.0,313.68133672185144,369.49478926367414,candidate_requires_control_validation
220.0,327.12484713395514,382.41305557509776,candidate_requires_control_validation
230.0,340.5734677285557,395.30721358036806,candidate_requires_control_validation
240.0,354.0328896404048,408.15851103128875,candidate_requires_control_validation
250.0,367.5058439759595,420.9385514106932,candidate_requires_control_validation
260.0,380.9973680146487,433.66736790898557,candidate_requires_control_validation
270.0,394.5140326138428,446.3809808779558,candidate_requires_control_validation
280.0,408.05749473053953,459.1066567787277,candidate_requires_control_validation
290.0,421.63168428405146,471.88014690535124,candidate_requires_control_validation
300.0,435.2313886250907,484.7327421920403,candidate_requires_control_validation
310.0,448.84786451799516,497.69170287799363,candidate_requires_control_validation
320.0,462.47627416546004,510.7972096905766,candidate_requires_control_validation
330.0,476.10894175028596,524.0587192508846,candidate_requires_control_validation
340.0,489.73955971859345,537.4161195355989,candidate_requires_control_validation
350.0,503.36257945655416,550.829156199005,candidate_requires_control_validation
360.0,516.9899690358247,564.2478443219503,candidate_requires_control_validation
370.0,530.6257218368136,577.6234068942016,candidate_requires_control_validation
380.0,544.2651195725131,590.9075760471911,candidate_requires_control_validation
390.0,557.9026527368877,604.0488546082111,candidate_requires_control_validation
400.0,571.5330473472236,617.0707457264506,candidate_requires_control_validation
410.0,585.1506044035972,630.0059381044817,candidate_requires_control_validation
420.0,598.7519624199963,642.8763921821799,candidate_requires_control_validation
430.0,612.3233412255956,655.7228691532085,candidate_requires_control_validation
440.0,625.8647075728593,668.5714977813999,candidate_requires_control_validation
